127.0.0.1 - - [24/Jun/2018:15:41:39 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/login.jsp HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/css/dlstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/css/hmstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/css/amazeui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/css/skin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:06 +0800] "GET /OrderTakeOutFood/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:07 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "POST /OrderTakeOutFood/CustromerLoginServlet HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/home.jsp HTTP/1.1" 200 9916
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/js/amazeui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/image/logo.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/image/icon.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/StoreAllDisplayServlet HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/upload/store/8/11/63ae922c-b58c-4605-835e-19e9754c7d68_DA05BC9BF4A703C5.jpg HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/upload/store/13/9/6a973d57-bfa7-4c52-b354-381ba92cc688_u=1157970545,2696041329&fm=202&mola=new&crop=v1.jpg HTTP/1.1" 404 1229
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/upload/store/15/0/e4586e49-6c41-4a83-9062-2507f2368b66_u=506995743,1274040376&fm=58&bpow=746&bpoh=533.jpg HTTP/1.1" 404 1228
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:12 +0800] "GET /OrderTakeOutFood/upload/store/9/1/7e524411-211c-40fa-b6c0-7319b59c88bb_u=3375179229,34225880&fm=58&s=02B4E023CED5818210909DD30100C0A3&bpow=121&bpoh=75.jpg HTTP/1.1" 404 1264
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:15 +0800] "GET /OrderTakeOutFood/foodlist.jsp?storeid=1 HTTP/1.1" 200 30968
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:15 +0800] "GET /OrderTakeOutFood/css/optstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:15 +0800] "GET /OrderTakeOutFood/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:15 +0800] "GET /OrderTakeOutFood/js/amazeui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:15 +0800] "GET /OrderTakeOutFood/js/jquery.imagezoom.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:42:15 +0800] "GET /OrderTakeOutFood/js/quick_links.js HTTP/1.1" 304 -
